time,itf_g,itf_t,itf_s,aghulas_box,aghulas_jet,amoc
2008-05-01,-0.0698012731245609,0.1996274870318059,0.7581211449040396,-71.51276,-85.681885,13.820692
2008-06-01,7.863289081993438,8.795099908701683,1.0987829019113489,-62.95582,-80.93636,17.633358
2008-07-01,9.64884684229456,9.70093221903484,2.760067492766177,-50.48594,-44.325283,18.492102
2008-08-01,8.085456318051808,6.647627575676504,5.871804552772646,-83.49244,-118.2646,18.14957
2008-09-01,10.141117023539064,8.604349862986416,4.448797425213492,-101.89909,-77.148186,16.573183
2008-10-01,2.9050099296766883,1.970623770109266,3.1268611216731825,-88.4889,-87.233765,18.619837
2008-11-01,2.289401745046248,0.4962605304493185,2.9384604915167967,-92.75375,-96.0901,18.208206
2008-12-01,5.02964708722925,4.785501938749769,1.005406835234964,-106.83747,-120.174225,20.196287
2009-01-01,10.238804036564536,11.76807508864163,-1.5098328468402726,-103.84209,-121.97758,15.648851
2009-02-01,9.998102568813302,10.88113326694256,-1.131270394726028,-95.342964,-97.62799,15.105632
2009-03-01,10.31945025153465,8.850323953929149,1.962582183823235,-135.25984,-148.20348,15.568699
2009-04-01,8.259117768950098,3.427772417588825,4.279816687792259,-92.229095,-87.821014,15.907563
2009-05-01,10.096154140580008,6.22122231757253,2.4481304497609133,-103.70771,-86.996864,19.36287
2009-06-01,19.58453191287939,15.341605354581883,1.8180353894213832,-63.153587,-81.78091,14.593329
2009-07-01,19.42368758503205,16.284084531647025,-0.3931924952701935,-65.81124,-85.35648,17.28841
2009-08-01,16.456741971526263,12.191328586061216,1.422150965839629,-60.082092,-81.029686,17.640247
2009-09-01,15.928869282632895,12.523108066553116,3.699353511778126,-68.88315,-86.73071,15.476068
2009-10-01,5.067410784659321,4.081950058800784,3.3954578033622687,-79.74956,-96.666046,15.973371
2009-11-01,-0.3254550481681248,0.2664883442242696,3.736371121813159,-72.37945,-100.344986,14.9383545
2009-12-01,-1.2912034418513638,2.033548280311985,3.2854421592188494,-132.34628,-108.86364,12.379179
2010-01-01,-0.0351603622710045,6.650846916055443,-0.280877198689197,-88.75212,-99.65946,10.062349
2010-02-01,-4.142400436370746,3.8920153732657097,-0.4041575564534588,-83.18906,-92.0295,10.711256
